Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
CASSENA CARE,119,12,2,0,0,0,0,100,0,0,3.4,3.3,2.5,4.3,3.3,2.9,1,39.7,46.6,0.8,7,0.6,218552.77,18212.73,0,0,21.8,11.3,1.3,1.1,90.6,80,81.9,1.86,1.03,10.4,1.9,9.6,1.9,0.6,9.7,13.7,94.6,92.9,0,71.7,7.7,27.9,9.7,9.9,31.7,3.9
CASSIA,120,16,4,0,0,0,0,0,100,0,4.4,3.8,4.6,4.6,4.4,3.8,1.1,49.7,40.4,0.5,15,0.9,429208.05,26825.5,2,0.1,20.4,11,1.2,2.3,85.6,89.9,93.1,1.64,0.75,12.1,3.4,5.9,2.3,0.4,11.7,10.5,97.2,96.9,0,56.1,2.2,4.8,11.3,9.7,63.1,12.9
CASTLE HEALTHCARE,121,7,1,0,0,0,0,85.7,14.3,0,2.4,2.3,1,4.9,3.4,3.1,0.4,53.4,56.3,,33,4.7,530980.33,75854.33,2,0.3,17.6,16.3,0.4,1.8,99.8,61.5,59.5,1.6,1.37,14.1,3.9,5.8,0.7,0.2,5.9,7.6,92.4,84,0,43.6,5.4,36,23.5,10.8,52.1,13.8
CATHOLIC CHARITIES NEW HAMPSHIRE,122,6,1,0,0,0,0,0,100,0,3.8,3.5,3.3,4.5,4,3.5,0.7,58.6,53.6,0.3,5,0.8,5862.88,977.15,0,0,18,12.2,0.5,1.9,85.1,81.4,80.4,1.87,1.45,3.1,7.1,3.9,3.6,1.6,17.7,16.3,97.1,92.6,0,49.9,8.4,0.4,13.4,9.6,63.8,25.6
CCH HEALTHCARE,124,31,3,0,1,4,12.9,100,0,0,1.8,2,1.8,3.3,3.6,3,0.6,65.2,62.8,0.7,109,3.5,3032058.91,97808.35,12,0.4,24.2,14.7,1.9,4,79.4,60.1,60.9,1.89,1.48,11.9,3.4,10.6,1.8,0.4,14.8,14.4,89,77.1,0,43.5,9.6,16.8,24.5,10.5,26.2,12.7
CELEBRATE SENIOR LIVING,647,2,2,0,0,0,0,0,100,0,3.5,4,2.5,2.5,4.1,3.7,0.7,55.1,39.3,,2,1,17735.25,8867.63,0,0,28.9,7.1,0.5,1.4,51.3,47.3,59.2,2.36,1.32,19.6,2.3,6.1,1.1,0.7,20.9,17.7,95.3,79.2,0,66.8,5.3,61.6,20.4,11.7,55.3,3.7
CENTENNIAL COLORADO HOLDCO,592,7,1,0,0,1,14.3,100,0,0,2.9,2.6,2.6,4,3.2,2.8,0.6,74,80.9,3.1,11,1.6,135842.85,19406.12,0,0,16.8,13.4,0.2,3.2,79.9,87.3,91.5,1.32,1.68,20.2,2.9,3,2.3,1,8,10.9,99.2,96.9,1.6,32.6,7.1,2.7,16.9,11,46.5,6.9
CENTER MANAGEMENT GROUP,619,21,5,1,0,0,0,100,0,0,2.7,2.5,2.1,3.9,3.6,3.1,0.5,50.7,49.2,0.6,46,2.2,870330.93,41444.33,1,0,25.7,12.3,1.7,1.9,81.5,65.2,62.7,2.16,0.95,10.6,2.9,8.6,1.4,0.9,10.5,11.8,91.5,88.1,0,54.9,7.1,14.7,16.9,10.5,39.7,20.5
CENTERS FOR AGING AND REHABILITATION OF FLORIDA,126,8,1,0,0,0,0,62.5,37.5,0,2.4,2.9,1,3.9,0.4,0.3,0.1,,,1.5,8,1,314941.62,39367.7,0,0,24.1,6.1,2,3.2,74.8,84,93.7,1.78,0.83,21.4,4.1,6.1,1.9,0.9,5.4,13.9,98.2,99.5,0,32.3,6.5,1.2,28.5,10.1,39.7,54.2
CENTERS HEALTH CARE,127,34,4,1,3,2,5.9,100,0,0,1.5,1.6,1.5,3.6,3.4,2.8,0.5,58.9,51.3,1.2,57,1.7,1113918.44,32762.31,6,0.2,22.3,13.3,1,2.5,81.1,78.1,81,1.75,1.23,14.1,2.7,9.3,1.4,0.3,13.5,15,94.8,93,0,52.1,5.3,29,14.3,10.1,16.1,4.6
CENTRACARE HEALTH,128,6,1,0,0,0,0,0,83.3,16.7,4.5,3.8,4.7,4,5.5,4.7,1.6,54.1,43.2,0,20,3.3,160236.8,26706.13,1,0.2,19.8,11.1,1.6,3.9,73.4,82.3,91.8,1.12,1.22,12,5.6,9.5,1.9,2.2,13.6,11.8,98.1,99.2,0,52.8,4.9,4,10.1,9.5,78.3,38.5
CENTRAL ARKANSAS NURSING CENTERS,129,38,2,0,0,0,0,100,0,0,3.6,3.2,3.2,4,4.3,3.6,0.3,54,46.4,0.4,31,0.8,348969.16,9183.4,3,0.1,23.8,13.4,1.2,3.2,76.6,76,85.8,1.84,0.9,7.2,3.8,6.3,2.1,1.1,10.1,10,95.3,96.2,0.1,47.2,4.9,0.9,24.1,10.7,41.7,14.6
CENTRAL MANAGEMENT COMPANY,130,22,1,0,0,3,13.6,100,0,0,2.6,3.2,2,2,3.6,2.9,0.3,47,34.2,0.8,58,2.6,286974.65,13044.3,1,0,26.5,14.1,3.8,2.9,65.4,84.9,90.4,2.61,1.74,16,3.7,7,3.5,1.4,10.2,19.5,98.5,98,0,32.8,4.1,1.6,27.1,10.7,48.5,9.2
CENTURY CARE MANAGEMENT,131,7,1,0,0,0,0,100,0,0,4,4.4,2.7,2.1,4.1,3.5,0.4,43.1,44.9,0,6,0.9,7209.06,1029.87,0,0,24.1,11.2,1.4,3,69,85.2,88.7,2.26,1.21,14.6,3.8,11.5,5.8,1.5,28.4,17.1,96.8,94.9,0.2,59.6,8.7,8,19.9,10.4,27.4,3.3
CENTURY HEALTHCARE,638,8,1,0,1,1,12.5,100,0,0,1.4,1.5,1.1,3.5,3.3,3,0.5,62.8,64.7,0.9,14,1.8,424743.3,53092.91,2,0.3,21.5,11.5,2.4,3.5,71.1,77.1,72.3,1.24,0.97,15.9,2.5,7.3,0.7,1.2,16.4,12.5,97.3,91.5,0,54.3,7,0.4,15.5,9.7,30,22.9
CERTUS HEALTHCARE,132,11,1,1,2,3,27.3,100,0,0,1.3,1.3,1.2,3.8,3.1,2.6,0.4,61.5,61,1.6,36,3.3,916116.52,83283.32,8,0.7,25.9,16.4,1.7,2,75.2,64.8,56.3,2.13,1.37,14.5,3.5,5.9,0.8,0.5,9.8,13.5,92.8,85.1,0,44.2,9.3,25,32,9.9,39.8,7.7
CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,133,6,1,0,0,0,0,50,0,50,2.5,3,1.8,2.8,3.7,3.3,0.4,59.2,,0.5,21,3.5,66449.47,11074.91,0,0,27.6,13.2,0.9,1.9,70.8,78.1,89.5,2.53,1.36,10.6,3.7,9.8,3.5,1.7,18.2,16.1,98.2,99.7,0,61.2,8.1,2.3,24.1,11,15.1,5.9
CHAMPION CARE,134,15,3,0,3,4,26.7,93.3,6.7,0,1.8,1.6,2.1,3.6,3.3,2.9,0.5,62.4,54.4,1.2,53,3.5,2304387.66,153625.84,14,0.9,23.3,14.1,1.2,4,81.1,45.7,51.7,1.95,1.53,15.2,2.9,10,1.8,1,12,10.8,81.1,75.4,0.1,36.2,6,23.9,21.7,10.3,50.9,12.9
CHANCELLOR HEALTHCARE,135,2,2,0,0,0,0,100,0,0,3,3,3,3.5,3.8,3.4,0.4,54,25,0,4,2,5558.42,2779.21,0,0,15.1,21.6,0,2.2,63.9,60.9,88.3,2.02,1.57,6.5,2.5,9.7,0.2,2.5,12.1,11.9,96.6,93.3,0,15.8,7.1,0,12,8.8,31,3.6
CHARIS TRUST DTD 12/22/16,136,12,1,0,0,1,8.3,100,0,0,3,2.3,3.4,4.7,4.1,3.7,0.4,36.7,48.2,0.8,21,1.8,259732.15,21644.35,1,0.1,25.3,9.9,0.7,0.6,76.6,98.5,98.4,1.72,0.83,6.9,1.7,5.8,0.3,1.6,7.6,3.9,99.9,99.9,0.1,26.5,4.3,3.2,12.6,10.6,42.2,6.9
CHARLESTON HEALTHCARE GROUP,137,5,2,0,0,0,0,80,0,20,2.8,3,1.6,3.4,2.8,2.5,0.4,50.5,46.6,0.4,7,1.4,109895.08,21979.02,2,0.4,24.3,21.7,6.1,2,77.1,84.7,88.4,2.36,1.76,8,2.7,4.7,0.5,1.4,15,20.4,99.7,98.6,0,50.2,6.1,1.2,28.3,10,29.3,5
CHELSEA JEWISH LIFECARE,138,5,1,0,0,0,0,0,100,0,4.6,3.8,3.8,4.8,4.7,4.3,0.7,37.1,33,1,3,0.6,37743.8,7548.76,1,0.2,22.7,8,0.5,1.7,88.6,93,98.2,1.77,0.59,16.4,5.6,6.9,0.6,0.4,11.3,7.2,99.3,96.7,0,55.3,5.7,1.6,17.5,10.1,60.6,17.3
CHEYENNE SHERIDAN OPCO HOLDINGS,625,3,2,1,0,1,33.3,100,0,0,2,2.5,1.5,4,3.3,2.9,0.6,44.4,36.4,1,8,2.7,121218.5,40406.17,1,0.3,18.3,15.6,2.2,1.1,87.4,68.7,71.6,1.19,1.5,20.9,4.4,4.2,2.3,0.6,8.8,13.1,96.5,93.1,0,49.4,5.6,22.9,8.9,10.9,67.7,14.4
CHI LIVING COMMUNITIES,139,8,5,0,0,0,0,12.5,87.5,0,2.8,2.9,1.9,3.8,4.5,4,1,50,50,0.7,11,1.4,170659.79,21332.47,2,0.3,20,15,1.6,2.7,84.2,81.9,81.9,1.65,1.61,13.7,5.2,7.9,2.4,1.4,13.7,12.4,92.9,97,1,43.9,5.6,16.1,25.3,10.5,46.7,9.2
CHOICE HEALTH MANAGEMENT,140,15,2,0,2,4,26.7,100,0,0,1.4,1.6,1.3,2.1,3.3,2.9,0.3,57.9,56.1,0.7,42,2.8,1580746.42,105383.09,9,0.6,24.5,14.7,2.1,2.4,63.9,66.2,71.9,2.36,1.39,12.9,3.7,10,1.5,0.4,32.2,25.7,87.2,87.1,0,50.9,8.8,3.7,19.9,10.6,51.6,11
CHOICE HEALTHCARE,588,6,1,0,1,0,0,100,0,0,1.8,2.2,1.2,2.5,3.1,2.7,0.4,70.6,63.8,0.8,21,3.5,573350.09,95558.35,1,0.2,23.8,14.9,2.2,3,77.2,35.8,22.3,1.92,1.23,13.3,4.2,10.4,3.2,0.8,19.9,22,89.1,52.4,0,45.7,7.1,10.6,27.9,10.3,33.4,19
CHOSEN HEALTHCARE,141,8,2,0,0,4,50,50,12.5,37.5,1.9,1.6,2.1,2.8,3.4,2.9,0.5,43.9,43.3,0.5,21,2.6,688804.33,86100.54,10,1.3,22.1,15.4,3.5,2.1,57.9,46.9,71.9,1.94,1.32,19.8,3.2,8.7,1.4,1.4,18.4,15.9,97.5,88.3,0,47.2,5.9,2.3,33.2,10.6,45.3,11.5
CHRISTIAN CARE COMMUNITIES,142,5,1,0,0,0,0,0,100,0,3.8,3.6,3.6,3.4,4.4,3.8,0.9,63.9,47.6,0.2,8,1.6,9455.13,1891.03,0,0,18.3,20.5,0.6,5.5,80.4,81.2,79.1,1.55,1.53,13.5,6.3,6.3,3.8,1.1,16.6,15.9,91.5,88.6,0,46.1,9.2,2.2,30.4,11.2,57.7,9.2
CHRISTIAN HORIZONS,143,5,3,0,0,1,20,0,100,0,3.2,2.8,3.8,3.6,4.1,3.6,0.8,49.3,29,0.2,10,2,465920.5,93184.1,5,1,20.1,14.6,1.4,5.4,69.3,91.3,90.1,1.7,0.88,15.6,4.9,9.2,2,1.9,16.6,11.5,98.6,94.4,0.2,66.1,9.3,1.6,14,9.5,40.3,5
CIENA HEALTHCARE/LAUREL HEALTH CARE,144,79,5,0,1,9,11.4,100,0,0,2.6,2.5,2.7,3.6,3.5,3,0.6,51.2,46.9,0.6,132,1.7,4913611.83,62197.62,43,0.5,23,12.4,1.5,3.7,77.2,71.1,78.6,1.79,1.05,13.9,3.2,9.8,1.5,1,15,14.7,90.1,91.9,0.1,49.4,7.3,5,21,10.7,38.4,5.1
CIRCLE B ENTERPRISES,145,29,2,0,1,3,10.3,100,0,0,2.3,2.9,2,2.5,3.1,2.7,0.4,64.5,57.9,0.7,17,0.6,263161.86,9074.55,4,0.1,24.3,15.7,1.9,3.6,73.9,60.8,73.5,2.04,1.49,22.6,3.3,10,2.1,1.9,17.4,19.6,93.5,93.7,0.2,32,4.7,10.1,26.4,11,11.4,5.9
CITADEL CARE CENTERS,146,16,2,0,0,0,0,100,0,0,2.6,2.3,2.3,4.3,3.4,3.1,0.6,51.6,57.9,1.3,27,1.7,211674.07,13229.63,0,0,24,10.7,1.8,3.1,85.8,73.6,72.3,1.9,0.6,7.9,1.6,10.7,0.7,0.7,12.7,12.1,95.8,85.7,0,55.9,7.6,5.3,15,10.9,47.7,29.8
CITADEL HEALTHCARE,147,11,1,0,0,2,18.2,100,0,0,3.1,3.1,2.1,3.7,3,2.6,0.6,43.8,37.2,0.5,33,3,548246.75,49840.61,4,0.4,24.6,13.8,1.8,1.8,77.1,81,78.6,2.02,1.34,21.2,2.5,6.4,0,0.7,11.6,9.3,95.8,94,0,40.1,9.1,73.5,17.6,9.8,53.9,17.2
CITIZENS MEMORIAL HEALTH CARE,148,6,1,0,0,0,0,0,100,0,4,4,2.7,3,3.3,2.9,0.5,60.5,58.8,0.3,3,0.5,30483.64,5080.61,0,0,20,13.7,1.2,1.5,73.8,91.1,96.6,2.15,1.78,14.4,5.2,6.2,4.3,0.4,15.6,17.7,99.7,99.7,0.2,33.7,2.6,4.1,19.6,10.3,43.9,11.8
CLEAR CHOICE HEALTHCARE,149,9,2,0,0,0,0,100,0,0,4.1,3.8,3.6,4.1,4,3.6,0.6,57.4,52,0.9,9,1,28212.38,3134.71,0,0,27.2,11.3,1.8,1.2,87.9,95.5,98.4,2.09,0.77,8.2,3,7.3,1.4,1.2,9.7,9.8,98.8,99.7,0,56.3,5.6,1.1,23.7,11.8,30.5,14.2
COMMCARE CORPORATION,150,15,1,0,0,1,6.7,13.3,86.7,0,2.6,2.8,2.1,2.7,4,3.3,0.3,71.7,65.7,1.5,23,1.5,806279.72,53751.98,4,0.3,29,15,2.2,3,82.9,81,90.2,2.55,1.33,10.6,3.7,10.2,1.7,0.8,15.6,15.5,95.4,94.7,0,37.4,4.5,0.5,22,10.6,34.6,3.9
COMMONSPIRIT HEALTH,151,5,5,0,0,0,0,0,100,0,2.8,2.4,3.4,3.6,4.5,4,0.9,55.1,61.7,0.7,22,4.4,132278.51,26455.7,2,0.4,24,10.1,1.4,3.5,75.8,57.8,63.5,2.15,1.73,12.2,4.8,6.1,1.7,2,13.7,14.7,94,87.1,0,42.4,7.8,7.7,16.4,9.9,59.2,21.3
COMMONWEALTH CARE OF ROANOKE,152,12,1,0,0,1,8.3,100,0,0,3.5,3.4,2.2,3.6,3.4,3,0.5,46.5,52.4,0.8,6,0.5,110064.8,9172.07,0,0,23,13.2,1.4,1.5,75.4,89.9,91.6,1.63,1.08,12.4,3.6,7.5,2.4,1.1,21.2,16.7,98.4,97.3,0,58.6,7.6,3.8,20.3,10.8,30.3,1.1
COMMUNICARE HEALTH,153,109,7,3,9,24,22,96.3,2.8,0.9,1.9,2,1.4,3.7,3.3,2.9,0.5,58.4,57.8,1,210,1.9,6991366.11,64140.97,40,0.4,24.3,13.9,1.4,2.7,83.4,64.1,63.8,1.65,1.27,10.5,3.1,7.8,1.1,0.4,13.7,16.5,90.6,85,0,50.8,7.3,27.4,22.2,10.6,47.8,2
COMMUNITY CARE CENTERS,154,13,2,0,0,0,0,100,0,0,2.2,2.8,1.4,2.9,2.9,2.5,0.3,61.2,61.9,4.3,53,4.1,695237.29,53479.79,7,0.5,21.2,11.5,2.7,2.8,53.7,63.3,80.4,1.94,1.89,18.2,4.6,8.2,2.2,1.7,14.3,14.5,91.6,91.3,0.3,24.2,4.5,10.4,24.1,11.1,29,1.8
COMMUNITY ELDERCARE SERVICES,155,18,2,2,2,2,11.1,100,0,0,1.7,1.9,2.4,1.6,3.5,3,0.5,53.3,58.4,1,32,1.8,1662709.61,92372.76,5,0.3,29.8,18.6,2.1,2.4,62.7,63.1,76.9,1.99,1.73,27.7,3.1,9.9,2.2,2,20.5,20.7,88.3,91.1,0,47.6,5.7,2.2,28.3,12.7,24.3,11.6
"COMPASS HEALTH, INC.",156,7,1,0,0,0,0,100,0,0,5,4.7,4.1,5,5.3,4.7,0.6,40.6,46.7,0.5,2,0.3,1307.8,186.83,0,0,19.3,14,1.2,0.9,87,100,100,1.46,0.95,21.4,2.4,1.3,0.1,0.6,7.3,1.4,100,100,0,4.3,4.8,1.5,29.7,9.2,63.4,50.3
COMPLETE CARE,157,74,7,0,0,5,6.8,93.2,6.8,0,2.8,2.4,2.7,4.2,3.6,3.2,0.7,51.2,48.4,0.7,106,1.4,2454523.98,33169.24,7,0.1,22.8,10.3,1.1,2.6,84.7,73.9,75.2,1.85,0.89,9.7,2.6,8.9,1.1,0.8,13.1,11.7,95.3,91.1,0,48.7,7.1,11.7,16.7,10.9,39.6,13.1
CONCORDIA LUTHERAN MINISTRIES,573,8,3,0,0,1,12.5,0,100,0,2.9,2.6,2.6,3.9,3.9,3.4,0.7,55,59.3,0.4,15,1.9,201018.99,25127.37,0,0,28.3,9.7,1.3,2,70.2,79.8,86,1.8,0.8,11.3,3.3,12.5,2.2,3.8,18.4,17.1,90.1,87.6,0,70.3,8.8,6.6,14.5,11.1,25.8,0.6
CONSULATE HEALTH CARE/INDEPENDENCE LIVING CENTERS/NSPIRE HEALTHCARE/RAYDIANT HEALTH CARE,158,78,6,2,3,10,12.8,100,0,0,1.9,2,1.9,3.1,3.2,2.8,0.5,54.1,56.4,1.3,249,3.2,4348864.31,55754.67,14,0.2,22.8,12.5,1.7,3.7,73.9,79.7,78,2.02,1.18,13.3,3.3,9.9,1.2,1.1,19.5,17.1,94.2,89.6,0,43.5,6.6,2.1,22.5,10.6,38.3,17.3
CONTINUING HEALTHCARE SOLUTIONS,159,13,1,0,2,1,7.7,100,0,0,2.5,2.6,1.6,3.8,3.1,2.8,0.5,50.4,45.6,1.2,23,1.8,546904.44,42069.57,4,0.3,24.4,14.9,2.4,2.9,69.6,63.5,70,1.39,1.73,14.3,4.8,6.7,0.3,0.4,8.2,9.7,85.1,85.2,0,39.5,9.4,29.6,31.2,10.2,31.3,8.8
CONTINUING LIFE,160,6,1,0,0,0,0,100,0,0,5,4.2,4.6,5,5.2,4.7,0.8,36.1,46.4,0,4,0.7,7072.25,1178.71,0,0,18.4,8.8,1.3,1.5,85.2,95.2,96.8,1.19,0.57,9.9,4,6.2,1.5,0.8,11.7,9.3,99.4,100,0,69.9,2.9,1.2,12.5,9.2,52.1,9.9
CONTINUUM HEALTHCARE,161,6,2,0,0,0,0,83.3,16.7,0,2,1.5,2.3,3.8,3.9,3.4,0.6,53.7,44.5,0.8,23,3.8,232605.03,38767.51,1,0.2,25,10.9,1.5,2,85.7,50.9,55.8,2.15,0.86,15.7,3,8.2,0.4,1.2,11.1,9.9,93.8,86.6,0,49.4,5.4,15.4,21.9,10.9,44,27.1
CORNERSTONE GROUP HOLDINGS,162,7,1,1,1,3,42.9,100,0,0,1,1.2,1.2,2.2,2.8,2.4,0.5,,,,10,1.4,421453.73,60207.68,5,0.7,19.5,13.6,7.6,1.7,77.1,74.1,76.3,2.4,1.49,29.4,2.7,9.1,3.1,1.4,21.3,23.8,96.9,96.7,0,29.7,5.7,5.4,25,10.1,33.9,8.1
CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,163,11,1,1,0,1,9.1,54.5,0,45.5,1.8,2,1.7,2.9,3.4,3.1,0.3,50.6,47.6,1.3,42,3.8,927631.02,84330.09,4,0.4,24.7,11,3.1,3.2,63.4,84,91.2,1.93,1.38,10.8,3.3,6.1,0.8,1,14,16.3,98.2,97.7,0,43.6,4.7,4,25.7,10.7,18.5,12.5
COUNTRY CLUB REHABILITATION CAMPUS,164,6,1,0,0,0,0,100,0,0,3.2,2.8,1.8,4,3.1,2.8,0.6,54.2,33.7,0.7,7,1.2,226462.71,37743.79,2,0.3,26.4,13.9,0.8,5.9,83.9,75.6,76.4,1.69,1.82,10.7,5.7,11.3,0.4,0.1,3.9,7.6,95.4,95.3,0,60.1,3.4,13.8,20.7,11.9,40.7,1.6
COUNTRY VILLA HEALTH SERVICES,165,16,1,0,4,3,18.8,100,0,0,2.4,1.8,3.3,4.6,4,3.7,0.5,43.4,48,0.8,56,3.5,481652.56,30103.29,4,0.3,25,9.4,1.8,0.9,85.5,97.5,99.6,2.17,0.81,13,0.9,8.1,1.2,0.9,8,6,99,99.8,0,27.3,4.6,14.3,11.4,11.4,45.6,20.2
COVENANT CARE,166,25,2,0,0,1,4,100,0,0,3.4,2.7,3.2,4.7,3.9,3.5,0.6,49.1,54,1.3,44,1.8,428999.25,17159.97,2,0.1,25.3,14.5,1,1,90.2,96.8,98.2,1.75,1.08,9.4,1.6,6,0.4,0.5,7.7,5.4,98.4,99.7,0,41.1,4.7,3,11.6,10.7,50.3,14.8
COVENANT HEALTH,167,11,5,0,0,0,0,0,100,0,3.1,3,3.6,3.1,4.2,3.7,1.2,46.8,47.2,1.4,40,3.6,846059.69,76914.52,3,0.3,22.6,13,1.7,3.2,71.8,71.8,68,1.67,1.14,17.6,2.5,6.3,2.3,1.9,22.3,15.3,95.5,84,0,63.3,6.1,1.6,20,10.1,48,9.8
COVENANT LIVING,168,15,10,0,0,0,0,0,100,0,4,3.6,3.8,3.9,4.1,3.7,0.8,48.1,53.1,0.6,20,1.3,390806.73,26053.78,0,0,24.7,13.2,1.3,2.2,76.7,88.9,92.2,1.69,0.91,12.2,3.5,8.1,5.1,1.3,17.1,12.5,96.8,96.3,0,67.2,6.3,3.1,16.3,10.4,52.7,13.3
CREATIVE SOLUTIONS IN HEALTHCARE,169,114,1,0,2,9,7.9,84.2,0.9,14.9,2.4,2.9,1.2,3.6,2.9,2.5,0.4,56,59.2,0.8,204,1.8,4946497.32,43390.33,20,0.2,25.6,14.8,1.8,3,68.8,81.3,89.1,2.15,1.4,9.3,3.9,6.2,0.7,0.7,5.7,15.4,97.6,98.3,0,51.1,4.7,6.9,23.9,10.7,17.8,0.1
CREST HEALTHCARE CONSULTING,170,13,1,0,0,3,23.1,100,0,0,2.2,2.6,1.5,3.1,3.1,2.6,0.5,57.9,56.1,0.8,38,2.9,909115.93,69931.99,7,0.5,26.6,20,2.3,3.4,85.1,60.7,54.1,2.04,2.23,14.8,3.3,6.9,1,0.8,8.4,8.1,91.2,71.7,0,44.4,8,61.8,21.2,10.9,20.1,0.8
CROSSROADS CARE CENTER,171,13,2,0,0,1,7.7,100,0,0,2,1.9,2,3.2,3.3,2.8,0.6,54.8,44.2,0,51,3.9,1252244.64,96326.51,6,0.5,24.2,15.8,2.1,3.1,73.7,61.9,74.7,1.78,1.65,16.5,2.3,11.5,2,1.1,14.3,9.2,87.8,89.3,0.2,36.6,6.7,18.4,16.2,10.4,44.3,6.1
CROSSROADS MEDICAL MANAGEMENT,172,6,1,0,0,0,0,100,0,0,3.3,3.2,4,2.3,4.2,3.5,0.6,50.2,38.5,0,9,1.5,51230.6,8538.43,0,0,26.5,15.6,1.5,3.5,82.4,90.9,96.9,2.22,1.63,14.1,5.6,8.7,4.3,1.1,16.1,20.3,99.6,99.8,0,41.3,6.3,3.1,27.2,11.2,60.7,3.2
CROWN HEALTHCARE GROUP,173,9,1,0,0,0,0,100,0,0,2.2,2.6,1.2,4.2,3,2.7,0.3,53,46.5,0.9,28,3.1,392921.48,43657.94,2,0.2,25.8,13.5,2.2,2.9,90.4,62.6,66.9,1.65,1.16,16.8,2.9,9.3,0.2,0.6,6.2,6.7,86.5,81.1,0,44.8,9.9,45.8,22.7,10.8,42,2.6
CROWNE HEALTH CARE,174,18,1,0,0,0,0,94.4,5.6,0,4.1,3.8,4.2,2.8,4.3,3.5,0.6,44.3,36.6,0.3,5,0.3,33812.86,1878.49,0,0,24.3,16.9,2,3.7,71,79.4,82,1.65,1.25,20.2,3.2,7.8,4.2,2.2,14,11.2,96.2,94.6,0.2,54.6,5.7,0.9,20.5,10,48.5,6.2
CYPRESS HEALTHCARE GROUP,175,8,1,0,0,0,0,87.5,12.5,0,3.8,3.5,3.3,4.4,4.2,3.7,0.4,50.3,46.7,,11,1.4,37014.45,4626.81,0,0,27.6,15.1,0.8,1,82.2,96.8,99.3,1.99,0.77,8.5,1.7,6.6,0.8,1.5,16.5,8.9,98.3,99.4,0,46.9,5.5,1.5,5,10.9,46,17.1
CYPRESS HEALTHCARE LA,642,4,4,0,0,0,0,100,0,0,2.5,2.8,1.8,3.8,3.3,2.9,0.6,61.4,38.5,1,8,2,21743.5,5435.88,1,0.3,18,7.8,5,2.5,68.7,61.1,54.8,1.29,0.53,20.4,2.6,6.2,2.5,1.7,17,16.5,95.5,86,0,46.3,7.4,12.8,18.8,10.1,32.8,6
CYPRESS SKILLED NURSING,176,9,1,0,1,3,33.3,100,0,0,1.7,2,1.4,2.1,3.2,2.8,0.3,64.6,51.9,0.2,14,1.6,299724.48,33302.72,2,0.2,24.9,14.4,3.4,3.7,75.9,69.8,71,1.95,1.42,18.9,3.1,9.6,2.9,1.1,24.4,20.8,92.9,89.4,0,45.1,7.7,0.5,20.6,10.2,40,11.1
"D&N, LLC",177,35,7,2,0,7,20,97.1,0,2.9,1.7,2,1.9,2.2,3.3,2.8,0.3,60.2,53.9,0.7,55,1.6,2206344.17,63038.4,10,0.3,24.9,12.4,2.6,3.4,63.7,74.9,78.8,2.21,1.47,22.5,3,9.3,1.3,1.2,16.9,20,93.8,93.4,1.2,42.9,5.5,0.9,24.2,11.7,41.7,6.2
DAKAVIA,178,3,2,0,0,0,0,100,0,0,3.3,3.3,3,3.3,4.3,3.7,1,65.2,,,9,3,55164.48,18388.16,1,0.3,23.2,24.6,0.7,1.7,80.1,65.4,52.6,1.5,2.52,10,2.2,3.2,5.7,4,22.7,19,93.5,82.2,0,47.7,8.7,4.2,9.4,8.7,26.8,4.6
